DNI,,,,,DIF,,,,,GHI,,
Model,Mean Ranking per Station,Rank,,,Model,Mean Ranking per Station,Rank,,,Model,Mean Ranking per Station,Rank
SS4,5.95,2,,,SS2,5.72,1,,,SS1,4,2
CZ4,7.55,4,,,CZ3,5.88,2,,,CZ1,7.98,4
SA4,10.43,8,,,SA3,7.24,4,,,SA1,10.76,8
SS_DNIcs,11.76,9,,,dhi_McClear,6.5,3,,,SS_GHIcs,11.93,10
IP_DNIcs,16.21,21,,,SS_DHIcs,11.33,13,,,IP_GHIcs,17.41,19
BigaRosa_DNIcs,16.17,19.5,,,IP_DHIcs,12.02,14,,,BD_GHIcs,29.67,31
Brichambaut_DNIcs,19.05,24,,,BigaRosa_DHIcs,9.83,9,,,BigaRosa_GHIcs,21.5,26
Schulze_DNIcs,14.17,15,,,Brichambaut_DHIcs,12.86,15,,,Brichambaut_GHIcs,20.09,23
DPP_DNIcs,12.12,10,,,Schulze_DHIcs,8.52,7,,,Schulze_GHIcs,15.19,13
Meinel_DNIcs,14.93,17,,,DPP_DHIcs,21.85,22,,,Haurwitz_GHIcs,17.95,20
Sharma_DNIcs,14.19,16,,,Bulger_DHIcs,7.67,5,,,HaurwitzM_GHIcs,13.71,12
ElMghouchi_DNIcs,9.59,7,,,Sharma_DHIcs,8.24,6,,,BDM_GHIcs,19.55,21
HLJ_DNIcs,15.33,18,,,ElMghouchi_DHIcs,19.12,21,,,KC_GHIcs,35.95,36
FuRich_DNIcs,26,26,,,HLJ_DHIcs,10.29,10,,,KCM_GHIcs,17.07,18
TJ_DNIcs,16.17,19.5,,,FuRich_DHIcs,22.34,23,,,ABCG_GHIcs,33.83,34
dni_McClear,8.88,5,,,TJ_DHIcs,10.76,11,,,ABCGM_GHIcs,10.52,7
Ineichen_DNIcs,18.79,23,,,Kumar_DHIcs,14.12,17,,,RS_GHIcs,23.24,27
SS5,4.52,1,,,Campbell_DHIcs,15.26,19,,,DPP_GHIcs,26.57,29
CZ5,6.57,3,,,Samimi_DHIcs,14.4,18,,,YangWalsh_GHIcs,32.21,33
SA5,9.31,6,,,Kasten_DHIcs,18.09,20,,,Sharma_GHIcs,19.81,22
Laurie_DNIcs,13.9,12,,,Dumortier_DHIcs,9.45,8,,,ElMghouchi_GHIcs,29.74,32
Kasten_DNIcs,14.03,13,,,Modtran_DHIcs,13.26,16,,,HLJ_GHIcs,24.98,28
Kumar_DNIcs,16.33,22,,,ESRA_DHIcs,11.24,12,,,FuRich_GHIcs,37,37
Campbell_DNIcs,22.52,25,,,,,,,,TJ_GHIcs,16.14,15
Samimi_DNIcs,14.09,14,,,,,,,,ghi_McClear,11.62,9
ESRA_DNIcs,12.43,11,,,,,,,,Kasten_GHIcs,15.43,14
,,,,,,,,,,Kumar_GHIcs,16.17,16
,,,,,,,,,,Campbell_GHIcs,27.43,30
,,,,,,,,,,Samimi_GHIcs,21.21,25
,,,,,,,,,,WMO1_GHIcs,21.07,24
,,,,,,,,,,WMO2_GHIcs,16.21,17
,,,,,,,,,,BdD_GHIcs,34.88,35
,,,,,,,,,,PdBV_GHIcs,9.55,5
,,,,,,,,,,SS2,3.52,1
,,,,,,,,,,CZ2,6.81,3
,,,,,,,,,,SA2,9.71,6
,,,,,,,,,,ESRA_GHIcs,12.57,11
